,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude
299,"ул. большая академическая, 35а",1959,60,3,5,2452.6,55.831833,37.530535
300,"ул. уссурийская, 1 корпус 5",1975,105,1,16,4989.9,55.823864,37.810764
301,"ул. василисы кожиной, 16 корпус 3",1975,108,3,9,4504.0,55.73629,37.494647
302,"сиреневый б-р, 70",1971,98,1,14,4222.0,55.802573,37.834848
303,"сиреневый б-р, 12 корпус 1",1960,70,4,5,3062.7,55.802209,37.783365
304,"9-я северная линия, 11 корпус 1",1979,144,4,9,7144.0,55.93537,37.549444
305,"ул. просторная, 11",1972,244,7,9,10321.3,55.806504,37.720106
306,"ш. каширское, 11 корпус 2",1952,11,2,5,3298.6,55.66799,37.631191
307,"ул. 16-я парковая, 7",1953,115,2,5,3332.0,55.792847,37.823071
308,"п. сосенское, ул. александры монаховой, 101",2015,128,2,17,8310.7,55.540475,37.492644
309,"ул. миклухо-маклая, 57 корпус 2",1970,179,5,9,9139.0,55.641808,37.534613
310,"осенний б-р, 12 корпус 5",1985,135,2,17,4264.0,55.758904,37.412514
311,"ул. 9-я парковая, 47 корпус 2",1963,72,1,9,2590.0,55.80527,37.797837
312,"коломенский проезд, 8 корпус 2",1982,128,2,16,8131.6,55.664675,37.650011
313,"п. внуковское, ул. летчика грицевца, 12",2013,448,7,17,25096.5,55.624174,37.311229
314,"ул. каховка, 10 корпус 3",1981,110,1,16,5254.4,55.654157,37.579789
315,"ул. большая юшуньская, 6",1963,100,5,5,4481.5,55.650643,37.593812
316,"озерковская наб., 2/1",1969,160,1,17,7353.0,55.742681,37.636006
317,"ул. тайнинская, 7 корпус 4",2004,134,2,17,9928.0,55.880409,37.682
318,"ул. толбухина, 8 корпус 2",1957,60,3,5,4120.0,55.71908,37.403136
319,"ул. 11-я текстильщиков, 12",1973,142,4,9,7108.0,55.707304,37.74428
320,"ул. дубнинская, 20 корпус 3",1978,360,10,9,17950.0,55.870314,37.565398
321,"ул. академика королева, 7 корпус 3",1962,60,3,5,2566.0,55.819955,37.626511
322,"2-й павловский пер., 1",1910,45,3,5,2452.7,55.718299,37.62819
323,"ул. чертановская, 13",1969,142,4,9,6255.0,55.627483,37.598474
324,"ул. кунцевская, 1",1956,93,3,5,2867.9,55.730309,37.422925
325,"ул. шверника, 13 корпус 4",1966,95,1,12,3599.6,55.692516,37.590389
326,"ул. автозаводская, 6",1955,412,10,13,26429.7,55.709449,37.661033
327,"ул. футбольная, 10",2014,33,3,3,1565.5,55.512587,37.369179
328,"ул. севанская, 50 корпус 1",1963,80,4,5,3419.3,55.624459,37.652777
329,"ул. москворечье, 51 корпус 2",1962,80,4,5,3421.6,55.6441,37.66936
330,"ул. болотниковская, 3 корпус 1",2003,256,4,17,16198.0,55.655915,37.615794
331,"ул. академика волгина, 14 корпус 2",2000,255,4,17,16355.0,55.642718,37.503396
332,"ул. гончарная, 38",1939,178,15,14,13517.0,55.740887,37.650621
333,"ул. внуковская б., 16",1940,18,3,3,817.5,55.610453,37.299111
334,"ул. маленковская, 14 корпус 1",1996,9,1,5,1137.0,55.790372,37.672064
335,"ул. камова, 5",1954,18,2,3,913.1,55.70597,37.871113
336,"п. десеновское, пр-кт нововатутинский, 10",2013,384,5,17,20085.0,55.517985,37.34956
337,"ул. островитянова, 20",1972,143,3,12,7229.0,55.635274,37.513431
338,"ул. енисейская, 8",1967,72,1,9,2575.4,55.859398,37.661311
339,"пожарский пер., 9",1917,8,2,4,2188.0,55.741252,37.601672
340,"ул. башиловская, 3 корпус 2",1972,92,1,12,3476.0,55.794123,37.575522
341,"ул. адмирала лазарева, 72 корпус 1",2000,30,2,4,1398.0,55.538433,37.505175
