,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,city,Flats_per_floor,Street
16361,"п. сосенское, веласкеса б-р, 5 корпус 5",2018,350,4,16,15042.2,55.594107,37.458166,moscow,5.46875,п. сосенское
27444,"ул. генерала кузнецова, 26 корпус 1",1996,209,4,14,11501.0,55.68399,37.853147,moscow,3.732142857142857,ул. генерала кузнецова
8286,"ул. 9-я парковая, 42",1985,110,2,14,6317.5,55.79891,37.799823,moscow,3.928571428571429,ул. 9-я парковая
36292,"ул. савушкина, 138 литер а",2000,239,5,13,20765.7,59.989517,30.193248,spb,3.6769230769230767,ул. савушкина
35838,"ул. моховая, 44 литер а",1843,23,3,4,1252.1,59.938937,30.345441,spb,1.9166666666666667,ул. моховая
31979,"пр-кт ветеранов, 75 корпус 4 литер а",2008,95,1,18,5077.3,59.83947,30.227303,spb,5.277777777777778,пр-кт ветеранов
24955,"маршала рокоссовского б-р, 9",1961,60,3,5,2554.5,55.811007,37.7244,moscow,4.0,маршала рокоссовского б-р
45541,"пр-кт непокоренных, 16 корпус 1 литер в",1987,160,4,10,8239.0,59.996187,30.383188,spb,4.0,пр-кт непокоренных
206,"ул. нагорная, 31 корпус 3",1971,98,1,14,4237.0,55.673494,37.599238,moscow,7.0,ул. нагорная
42907,"ул. маршала казакова, 24 корпус 2 литер а",1986,450,6,12,24061.4,59.858245,30.226225,spb,6.25,ул. маршала казакова
39479,"ул. сикейроса, 3 корпус 1 литер а",1979,238,6,12,12443.8,60.033202,30.323755,spb,3.305555555555556,ул. сикейроса
1003,"чечерский проезд, 100",1998,318,8,10,20075.1,55.530918,37.51821,moscow,3.975,чечерский проезд
9616,"большой кондратьевский пер., 4 строение 1",1961,147,5,8,6392.0,55.772482,37.583239,moscow,3.675,большой кондратьевский пер.
13599,"пр-кт маршала жукова, 24 корпус 1",1961,95,5,5,4248.2,55.775965,37.482942,moscow,3.8,пр-кт маршала жукова
9273,"шебашевский проезд, 8 корпус 2",1958,66,5,5,3523.0,55.806322,37.532888,moscow,2.64,шебашевский проезд
37308,"ул. возрождения, 27 литер а",1960,60,3,5,2522.3,59.879475,30.277744,spb,4.0,ул. возрождения
38539,"ул. тельмана, 48 корпус 3 литер с",1969,90,6,5,4342.8,59.894446,30.484024,spb,3.0,ул. тельмана
36106,"реки мойки наб., 84 литер б",1837,48,7,5,5101.51,59.930219,30.302115,spb,1.3714285714285714,реки мойки наб.
6091,"ул. трофимова, 10",2002,203,3,22,13924.0,55.702794,37.666153,moscow,3.075757575757576,ул. трофимова
49644,"ул. гудованцева, 5",1963,10,4,5,362.34,55.863151,49.018181,kazan,0.5,ул. гудованцева
10133,"пр-кт севастопольский, 45 корпус 1",1964,75,5,5,3160.0,55.671468,37.587946,moscow,3.0,пр-кт севастопольский
907,"звездный б-р, 38 корпус 1",1961,64,1,8,2203.0,55.813546,37.624409,moscow,8.0,звездный б-р
21498,"ул. ротерта, 10 корпус 5",1981,127,1,16,5791.0,55.879157,37.726107,moscow,7.9375,ул. ротерта
32908,"ул. маринеско, 2/7 литер а",1954,61,5,5,3908.38,59.870271,30.264422,spb,2.44,ул. маринеско
21811,"ш. варшавское, 16 корпус 2",2006,201,3,18,13025.4,55.692252,37.618309,moscow,3.7222222222222223,ш. варшавское
6823,"ул. обручева, 7",1963,75,5,5,3439.0,55.661836,37.516,moscow,3.0,ул. обручева
31280,"ул. халтуринская, 19",1968,236,7,9,10367.0,55.804501,37.725191,moscow,3.746031746031746,ул. халтуринская
29756,"ул. шолохова, 4 корпус 1",1988,166,3,14,7666.0,55.636483,37.359397,moscow,3.952380952380953,ул. шолохова
39592,"пр-кт славы, 10 корпус 1 литер а",1964,126,9,5,6036.35,59.85646,30.374762,spb,2.8,пр-кт славы
16472,"ул. потешная, 10",1960,60,4,5,3333.3,55.799001,37.703865,moscow,3.0,ул. потешная
6996,"ул. реутовская, 6 корпус 2",1971,143,4,9,4990.2,55.739985,37.836582,moscow,3.9722222222222223,ул. реутовская
34878,"ул. верейская, 5 литер а",1917,40,4,5,2596.8,59.917569,30.323791,spb,2.0,ул. верейская
27451,"ш. каширское, 56 корпус 2",1955,56,3,5,3801.5,55.644775,37.669998,moscow,3.733333333333333,ш. каширское
13574,"ул. нагатинская, 21 корпус 1",1959,61,4,6,2908.8,55.679423,37.646408,moscow,2.5416666666666665,ул. нагатинская
47111,"ул. лени голикова, 43 литер а",1967,70,7,5,3180.87,59.841532,30.233385,spb,2.0,ул. лени голикова
8770,"ул. большая марьинская, 10",1963,60,3,5,2572.0,55.80954,37.635269,moscow,4.0,ул. большая марьинская
