,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,Flats_per_floor,Street
66,"ул. лени голикова, 31 корпус 3 литер а",1973,97,1,14,4612.0,59.840912,30.22821,6.928571428571429,ул. лени голикова
67,"пр-кт гражданский, 105 корпус 1 литер а",1973,464,11,9,23311.5,60.026667,30.412671,4.686868686868687,пр-кт гражданский
68,"ул. кржижановского, 13 литер а",1981,223,6,9,12332.3,59.930489,30.480215,4.12962962962963,ул. кржижановского
69,"8-я в.о. линия, 15 литер в",1917,6,1,4,469.9,59.937738,30.282505,1.5,8-я в.о. линия
70,"ул. шаврова, 5 корпус 2 литер а",1990,119,3,10,6822.5,60.020867,30.228884,3.9666666666666655,ул. шаврова
71,"пр-кт тореза, 21 литер к",1961,80,5,5,3482.76,60.00285,30.360559,3.2,пр-кт тореза
72,"ул. щербакова, 21 литер а",2012,29,1,6,2080.5,60.027844,30.29112,4.833333333333333,ул. щербакова
73,"пр-кт большеохтинский, 9 литер а",2010,161,1,21,15636.7,59.948172,30.410892,7.666666666666667,пр-кт большеохтинский
74,"октябрьская наб., 74 корпус 1 литер а",1956,83,7,5,5594.93,59.873623,30.46179,2.3714285714285714,октябрьская наб.
75,"ул. канонерская, 7-9 литер б",1884,7,1,4,362.75,59.920623,30.291721,1.75,ул. канонерская
76,"пр-кт обуховской обороны, 77 литер а",1886,16,2,5,1007.2,59.90122,30.425804,1.6,пр-кт обуховской обороны
77,"ул. пионерстроя, 15 корпус 1 литер а",1974,90,1,16,3726.6,59.842576,30.129216,5.625,ул. пионерстроя
78,"огородный пер., 11 литер а",1957,45,3,5,3212.07,59.885643,30.273018,3.0,огородный пер.
79,"красных зорь б-р, 10 литер з",1960,6,2,5,3204.6,59.870438,30.443564,0.6,красных зорь б-р
80,"пр-кт московский, 172 корпус 7 литер а",1953,53,3,6,3270.3,59.877574,30.322704,2.9444444444444446,пр-кт московский
81,"ул. 4-я советская, 4/9 литер а",1860,6,1,4,662.5,59.934682,30.366776,1.5,ул. 4-я советская
82,"ул. аэродромная, 7 корпус 1 литер а",1973,179,5,10,9338.4,59.997428,30.294246,3.58,ул. аэродромная
83,"джамбула пер., 7 литер а",1875,18,5,3,1335.33,59.925615,30.334149,1.2,джамбула пер.
84,"ул. парашютная, 20 корпус 1 литер а",1986,118,2,12,6906.6,60.016699,30.274824,4.916666666666667,ул. парашютная
85,"пр-кт средний в.о., 6/13 литер а",1917,26,6,4,2065.84,59.945671,30.288029,1.0833333333333333,пр-кт средний в.о.
86,"пр-кт юнтоловский, 53 корпус 3 литер а",2014,268,9,5,15023.3,60.03247,30.146922,5.955555555555556,пр-кт юнтоловский
87,"ул. боровая, 14 литер а",1885,22,4,5,2886.59,59.921011,30.348181,1.1,ул. боровая
88,"пр-кт дачный, 26 корпус 1 литер а",1965,50,5,5,2457.3,59.840578,30.25984,2.0,пр-кт дачный
89,"ул. фурштатская, 34 литер а",1917,10,5,4,1234.11,59.945427,30.357604,0.5,ул. фурштатская
90,"пр-кт обуховской обороны, 131 литер в",1917,15,1,5,1322.22,59.886654,30.442225,3.0,пр-кт обуховской обороны
91,"ул. руставели, 30 литер а",1967,159,8,5,7371.19,60.009188,30.433529,3.975,ул. руставели
92,"ул. карпинского, 28 корпус 2 литер а",1965,100,5,5,4477.59,60.01016,30.424726,4.0,ул. карпинского
93,"ул. шевченко, 21 корпус 1 литер а",1974,48,2,9,5888.9,59.93561,30.244245,2.6666666666666665,ул. шевченко
