,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,city
4812,"ул. оренбургская, 26 корпус 1",1966,80,4,5,3531.5,55.711655,37.865103,moscow
42576,"пр-кт тореза, 90 литер а",1962,45,1,9,1963.7,60.016834,30.335191,spb
11846,"ул. марии ульяновой, 8",1958,134,4,8,9414.0,55.681143,37.526178,moscow
40943,"пр-кт северный, 24 корпус 3 литер а",1978,448,12,1,24685.0,60.03376,30.35057,spb
29584,"ул. профсоюзная, 99",1969,428,12,9,14538.0,55.6372,37.524399,moscow
17671,"ул. одесская, 23 корпус 2",1962,80,4,5,3063.0,55.657088,37.593291,moscow
33646,"ул. есенина, 30 литер а",1981,35,1,15,6054.79,60.050309,30.340662,spb
40255,"ул. караваевская, 33 корпус 5 литер а",1961,64,4,4,2530.07,59.829061,30.512437,spb
22835,"ул. талалихина, 1 корпус 2",2001,120,2,16,7717.3,55.735662,37.678218,moscow
20910,"ул. ивана бабушкина, 22",1958,59,3,5,3902.0,55.683524,37.557466,moscow
3578,"ул. молостовых, 2 корпус 2",1975,190,4,12,11009.0,55.765655,37.829862,moscow
11140,"ул. городецкая, 3",1987,171,2,22,11124.9,55.744019,37.866558,moscow
49171,"ул. тунакова, 47",1955,32,2,5,3065.6,55.832581,49.084324,kazan
21346,"ул. николая старостина, 9",2000,72,2,9,3181.6,55.731551,37.853623,moscow
44338,"пр-кт мечникова, 3 корпус 2 литер а",1968,99,5,5,4476.6,59.984998,30.420971,spb
8270,"ул. ельнинская, 14 корпус 1",2018,148,4,12,8795.6,55.737355,37.425782,moscow
27776,"ул. металлургов, 30",1966,80,4,5,2370.0,55.758838,37.792438,moscow
8529,"1-й очаковский, 10",1956,40,3,5,2764.2,55.684056,37.460259,moscow
16646,"ул. чертановская, 48 корпус 2",1983,677,10,17,42807.7,55.607641,37.588296,moscow
18086,"ул. черкизовская б., 14 корпус 1",1967,143,4,9,7207.0,55.797301,37.727041,moscow
13642,"малый казенный пер., 12 строение 2",1990,35,1,6,2522.9,55.760748,37.654412,moscow
25152,"ул. новочеремушкинская, 24 корпус 2",1998,316,6,17,17926.4,55.680539,37.57439,moscow
9275,"шебашевский проезд, 8 корпус 2",1958,66,5,5,3523.0,55.806322,37.532888,moscow
41108,"пр-кт дачный, 35 литер а",1967,54,1,9,1935.9,59.836002,30.264125,spb
13971,"ул. нелидовская, 13 корпус 1",1961,52,3,5,2157.0,55.845365,37.44232,moscow
16575,"ул. коломенская, 21",1981,330,7,12,18980.6,55.677727,37.694297,moscow
34558,"пр-кт гражданский, 47 корпус 1 литер а",1958,12,1,3,411.16,60.014045,30.400444,spb
44200,"ул. думская, 5/22 литер а",1848,96,11,4,8835.53,59.933393,30.328085,spb
7038,"ш. коровинское, 9 корпус 1",1967,80,1,12,3497.2,55.868152,37.536976,moscow
24516,"ул. елецкая, 9 корпус 2",1978,187,4,12,4757.0,55.609055,37.734641,moscow
46024,"8-я в.о. линия, 53 литер б",1914,8,1,4,614.7,59.943796,30.276046,spb
37863,"ул. захарьевская, 41 литер а",1906,26,4,7,6976.31,59.947428,30.366785,spb
4902,"мукомольный проезд, 1 корпус 1",1960,80,4,5,3392.2,55.75054,37.524992,moscow
33947,"пр-кт индустриальный, 17 корпус 2 литер а",1986,15,1,16,7455.5,59.94321,30.479433,spb
23001,"ул. менжинского, 18",1966,72,1,9,2532.0,55.868612,37.674076,moscow
37633,"пр-кт чкаловский, 14 литер а",1902,42,4,5,3422.3,59.960386,30.289925,spb
1736,"ул. 1-я мелитопольская, 10",2002,143,2,16,8052.0,55.541657,37.579834,moscow
13818,"напольный проезд, 16",1968,142,4,9,6875.0,55.756741,37.829467,moscow
19274,"п. десеновское, ул. облепиховая, 5",2014,36,3,3,1546.5,55.511705,37.368487,moscow
12744,"ул. недорубова, 14",2016,192,2,25,11104.7,55.702054,37.93466,moscow
38541,"ш. южное, 108 литер а",1949,25,1,5,1677.0,59.861778,30.411215,spb
444,"ул. нижегородская, 75а",1962,60,3,5,2574.0,55.732636,37.722253,moscow
15221,"пр-кт солнцевский, 19",1987,322,5,17,17560.0,55.647092,37.410448,moscow
22475,"новодевичий проезд, 2",1961,167,6,8,9647.0,55.728089,37.560017,moscow
723,"ул. 1812 года, 4/45 корпус 2",1971,108,3,9,5447.0,55.736549,37.526151,moscow
13537,"студеный проезд, 8",1968,80,1,12,3490.0,55.893198,37.656981,moscow
19266,"ш. варшавское, 190 корпус 2",1957,8,2,2,401.3,55.549954,37.585197,moscow
19170,"ул. харьковская, 3 корпус 7",1975,111,1,16,5269.8,55.58552,37.652014,moscow
14908,"1-й хорошевский проезд, 14 корпус 3",1949,35,3,4,1755.3,55.775565,37.544306,moscow
19513,"шокальского проезд, 29 корпус 2",2007,192,3,17,10755.0,55.881278,37.646076,moscow
27609,"ул. краснодарская, 52",1982,191,4,12,9882.6,55.675214,37.768274,moscow
37062,"дмитровский пер., 17 литер а",1882,25,2,5,2278.38,59.929046,30.349519,spb
11880,"ул. вучетича, 16 корпус 1",1981,83,1,14,4369.0,55.810729,37.560098,moscow
39437,"пр-кт славы, 2 корпус 4 литер а",1965,197,4,9,10960.91,59.857061,30.367979,spb
47340,"ул. верейская, 7 литер а",1887,15,2,4,924.4,59.91742,30.324034,spb
25202,"ул. краснопрудная, 36 строение 1",1929,144,2,7,1654.4,55.780502,37.668956,moscow
21696,"ул. веерная, 34 корпус 2",1966,120,6,5,5156.0,55.711945,37.481001,moscow
28865,"ул. серпуховский вал, 8",1974,204,2,16,10956.3,55.712107,37.616458,moscow
23925,"3-й лихачевский пер., 7 корпус 1",1984,143,3,12,8246.2,55.848579,37.517832,moscow
17522,"ул. фортунатовская, 15",1961,72,1,9,2600.7,55.788454,37.739177,moscow
42302,"пр-кт невский, 152 литер а",2008,39,1,9,4795.0,59.928099,30.373998,spb
28440,"песчаный пер., 4",1971,326,7,12,15488.5,55.800317,37.509676,moscow
29141,"ул. перерва, 33",1999,356,6,17,19629.9,55.660028,37.743345,moscow
122,"ул. нижняя первомайская, 2",2007,52,1,14,3561.6,55.790752,37.791863,moscow
28627,"ш. каширское, 9 корпус 4",1952,6,2,5,3232.0,55.668422,37.632386,moscow
29113,"ул. подвойского, 20",1959,60,3,5,2537.0,55.764004,37.538143,moscow
4273,"якушкина проезд, 6а",1980,105,1,16,5011.0,55.858362,37.613117,moscow
16271,"ул. часовая, 25 корпус 2",1973,98,1,14,4255.0,55.810784,37.518003,moscow
30325,"пр-кт ленинский, 129а",1983,128,2,16,8195.2,55.643439,37.482681,moscow
46093,"ул. марата, 76 литер а",1898,55,5,5,5110.65,59.920275,30.342297,spb
