,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude
389,"ул. железноводская, 44 литер а",1966,45,2,9,1976.3,59.950483,30.242413
390,"пр-кт дачный, 9 корпус 5 литер а",1966,50,5,5,2446.46,59.845261,30.24182
391,"ул. пестеля, 23 литер а",1916,15,3,3,1071.6,59.94262,30.347156
392,"пр-кт ветеранов, 36 корпус 2 литер а",2011,128,1,28,8743.6,59.842956,30.24756
393,"пр-кт лиговский, 101 литер б",1916,8,1,4,435.0,59.922341,30.354127
394,"ул. большая морская, 27 литер а",1835,34,5,5,3503.51,59.933992,30.312428
395,"20-я в.о. линия, 13 литер б",1904,24,2,5,1923.53,59.933429,30.267826
396,"ул. партизана германа, 22 корпус 2 литер а",1970,251,7,10,13304.0,59.829405,30.17954
397,"9-я в.о. линия, 16 литер а",1917,23,3,5,2167.5,59.939212,30.279172
398,"пр-кт северный, 91 корпус 3 литер а",1966,100,5,5,4527.03,60.015039,30.427753
399,"пр-кт 2-й муринский, 8 корпус 2 литер а",1968,45,1,9,1971.66,60.003876,30.334472
400,"ул. алтайская, 9 литер а",1959,39,2,5,2365.9,59.847955,30.325193
401,"ул. заповедная, 43 литер а",1955,8,1,2,379.2,60.045187,30.273108
402,"пр-кт новочеркасский, 27 корпус 1 литер а",1961,64,4,5,2715.12,59.934718,30.406912
403,"ул. пушкинская, 13 литер а",1877,62,4,5,4144.7,59.928496,30.356211
404,"ул. гороховая, 50 литер б",1916,10,2,4,763.0,59.926467,30.327007
405,"учебный пер., 2 литер а",2002,464,5,18,35412.4,60.039436,30.333466
406,"пр-кт обуховской обороны, 269 корпус 2 литер а",1984,210,7,9,14134.4,59.854888,30.476972
407,"ул. будапештская, 43 корпус 1 литер а",1965,134,9,5,5982.7,59.854806,30.380143
408,"басков пер., 32 литер б",1910,36,1,6,1647.9,59.939447,30.36462
409,"ул. бармалеева, 21 литер а",1911,9,1,6,570.5,59.965286,30.303768
410,"ул. козлова, 41 корпус 2 литер а",1968,50,5,5,2463.91,59.830472,30.22574
411,"ипподромный пер., 1 корпус 2 строение 1",2021,511,7,18,27301.2,60.000294,30.307298
412,"ул. новостроек, 17 литер а",1958,75,5,5,4759.81,59.873826,30.266263
413,"ул. пасторова, 7 литер а",1900,26,2,5,2028.92,59.920176,30.290527
414,"ул. галерная, 32 литер б",1860,6,1,3,330.9,59.931517,30.289943
415,"реки карповки наб., 36 литер а",1912,26,1,7,2567.74,59.969628,30.299366
416,"пр-кт кима, 11 литер а",1960,70,5,5,4785.48,59.953065,30.24518
417,"ул. куйбышева, 10 литер а",1912,92,9,6,5875.79,59.955007,30.326926
418,"ул. стойкости, 37 литер а",1972,72,1,13,2770.2,59.827808,30.197147
419,"пр-кт науки, 37 литер а",1965,139,7,5,5041.0,60.008468,30.410524
420,"ул. червонного казачества, 46 литер а",1962,48,1,8,1676.3,59.867173,30.279226
421,"ул. 4-я советская, 14 литер б",1851,6,1,4,378.3,59.934245,30.368994
422,"ул. большая морская, 55 литер а",1917,2,4,5,157.7,59.931287,30.302339
423,"ул. большая озерная, 70 литер а",2011,55,5,5,7200.0,60.040456,30.303435
424,"пр-кт обуховской обороны, 251 литер а",1906,12,1,4,979.34,59.860744,30.477834
425,"ул. губина, 1/32 литер а",1951,15,3,2,809.1,59.896684,30.26143
426,"реки фонтанки наб., 45 литер а",1852,39,4,4,2852.32,59.930372,30.338874
427,"ул. балтийская, 24 литер а",1899,8,1,3,676.94,59.898891,30.284014
428,"поварской пер., 5 литер а",1894,22,2,5,1944.79,59.930061,30.351989
429,"пр-кт богатырский, 32 корпус 1 литер а",2006,252,3,16,14352.5,60.002404,30.241083
430,"ул. губина, 13 корпус 1 литер а",1949,10,2,2,560.0,59.894405,30.262445
431,"ул. белы куна, 18 корпус 3 литер а",1970,45,1,9,1972.7,59.87509,30.382586
432,"ул. декабристов, 36/1 литер а",1843,58,7,5,3997.25,59.925493,30.292593
433,"ул. гончарная, 14 литер а",1904,6,3,6,2160.7,59.929308,30.366533
434,"ул. большая пушкарская, 26 литер б",1900,7,1,4,732.9,59.958805,30.303274
